Study_Hours,Attendance,Previous_Marks,Final_Marks
1.0,60,45,48
1.5,65,50,52
2.0,70,52,56
2.5,72,55,59
3.0,75,58,63
3.5,78,60,66
4.0,80,62,69
4.5,82,65,72
5.0,85,68,76
5.5,88,70,79
6.0,90,72,82
6.5,92,75,85
7.0,94,78,88
7.5,95,80,91
8.0,96,82,93
1.2,62,48,50
1.8,68,51,54
2.3,71,54,58
2.8,74,57,62
3.2,76,59,65
3.8,79,61,68
4.2,81,64,71
4.8,84,66,74
5.2,86,69,77
5.8,89,71,81
6.3,91,73,84
6.8,93,76,87
7.3,94,79,90
7.8,96,81,92
8.5,98,85,96
2.1,67,49,55
3.1,73,56,62
4.1,77,63,69
5.1,83,67,75
6.1,87,74,82
7.1,91,77,87
8.1,97,83,94
2.7,70,53,59
3.7,78,60,67
4.7,85,65,74
5.7,89,70,80
6.7,92,75,86
7.7,95,80,91
8.7,98,86,97
1.7,64,47,52
2.9,69,55,60
4.3,80,63,70
5.4,86,68,77
6.4,90,73,84
7.4,94,79,90
