Age,Salary,Experience,City,Education,Passed
22,30000,0,Hyderabad,B.Tech,0
25,50000,2,Delhi,B.Tech,1
28,65000,4,Mumbai,M.Tech,1
23,35000,1,Hyderabad,B.Tech,0
30,80000,6,Delhi,M.Tech,1
26,55000,3,Mumbai,B.Tech,1
32,90000,8,Chennai,M.Tech,1
24,40000,1,Bangalore,B.Tech,0
29,70000,5,Hyderabad,M.Tech,1
27,60000,3,Delhi,B.Tech,1
21,28000,0,Mumbai,B.Tech,0
34,95000,10,Chennai,M.Tech,1
23,36000,1,Bangalore,B.Tech,0
31,85000,7,Hyderabad,M.Tech,1
26,52000,2,Delhi,B.Tech,1
22,32000,0,Mumbai,B.Tech,0
35,100000,12,Chennai,M.Tech,1
28,68000,4,Bangalore,B.Tech,1
24,38000,1,Hyderabad,B.Tech,0
33,88000,9,Delhi,M.Tech,1
