Age,Salary,Experience,Study_Hours,Attendance,Assignments_Completed,Total_Assignments,Math,Science,English,City,Random_ID,Final_Marks,Salary_per_Experience,Completion_Rate,Study_Attendance,Is_Fresher,Average_Marks,Age_Group,Log_Salary
22,30000,0,3,65,6,10,55,60,58,Hyderabad,1001,58,30000.0,0.6,195,1,57.666666666666664,Young,10.308985993422082
25,50000,2,5,75,8,10,65,68,70,Delhi,1002,68,16666.666666666668,0.8,375,0,67.66666666666667,Young,10.819798284210286
28,65000,4,7,85,9,10,78,80,82,Mumbai,1003,81,13000.0,0.9,595,0,80.0,Adult,11.082157933374816
23,35000,1,4,70,7,10,60,62,65,Hyderabad,1004,63,17500.0,0.7,280,0,62.333333333333336,Young,10.463131911491967
30,80000,6,8,90,10,10,88,85,90,Bangalore,1005,89,11428.57142857143,1.0,720,0,87.66666666666667,Adult,11.289794413577894
26,55000,3,6,80,8,10,72,75,70,Delhi,1006,73,13750.0,0.8,480,0,72.33333333333333,Adult,10.915106645867503
35,120000,10,9,95,10,10,92,90,94,Mumbai,1007,92,10909.09090909091,1.0,855,0,92.0,Adult,11.695255355062795
21,28000,0,2,60,5,10,50,55,52,Hyderabad,1008,53,28000.0,0.5,120,1,52.333333333333336,Young,10.239995502805316
24,42000,1,4,72,7,10,62,65,60,Chennai,1009,63,21000.0,0.7,288,0,62.333333333333336,Young,10.645448706505872
29,70000,5,7,88,9,10,82,85,80,Bangalore,1010,83,11666.666666666666,0.9,616,0,82.33333333333333,Adult,11.156264806643742
32,95000,8,8,92,10,10,90,88,91,Delhi,1011,90,10555.555555555555,1.0,736,0,89.66666666666667,Adult,11.461642696843066
27,60000,3,6,78,8,10,70,72,75,Hyderabad,1012,72,15000.0,0.8,468,0,72.33333333333333,Adult,11.002116507732017
40,150000,15,10,98,10,10,95,94,96,Mumbai,1013,95,9375.0,1.0,980,0,95.0,Adult,11.918397239722838
22,32000,0,3,66,6,10,56,58,60,Chennai,1014,58,32000.0,0.6,198,1,58.0,Young,10.373522431293592
31,85000,7,8,91,9,10,86,84,88,Bangalore,1015,86,10625.0,0.9,728,0,86.0,Adult,11.350418300109132
25,48000,2,5,74,7,10,64,67,65,Hyderabad,1016,65,16000.0,0.7,370,0,65.33333333333333,Young,10.778977123006351
38,135000,12,9,96,10,10,93,91,95,Delhi,1017,93,10384.615384615385,1.0,864,0,93.0,Adult,11.813037464800539
23,36000,1,4,68,6,10,58,61,57,Mumbai,1018,59,18000.0,0.6,272,0,58.666666666666664,Young,10.491301994830229
28,68000,4,7,84,9,10,80,78,83,Chennai,1019,80,13600.0,0.9,588,0,80.33333333333333,Adult,11.127277689932466
34,110000,9,9,94,10,10,91,89,92,Bangalore,1020,91,11000.0,1.0,846,0,90.66666666666667,Adult,11.608244735642321
