Age,Salary,Experience,City,Education,Purchased,Salary_Per_Experience
22,30000,0,Hyderabad,B.Tech,0,30000.0
25,50000,2,Delhi,B.Tech,1,16666.666666666668
28,65000,4,Mumbai,M.Tech,1,13000.0
23,35000,1,Hyderabad,B.Tech,0,17500.0
30,80000,6,Bangalore,M.Tech,1,11428.57142857143
26,55000,3,Delhi,B.Tech,1,13750.0
35,120000,10,Mumbai,PhD,1,10909.09090909091
21,28000,0,Hyderabad,B.Tech,0,28000.0
24,42000,1,Chennai,B.Tech,0,21000.0
29,70000,5,Bangalore,M.Tech,1,11666.666666666666
32,95000,8,Delhi,M.Tech,1,10555.555555555555
27,60000,3,Hyderabad,B.Tech,1,15000.0
40,150000,15,Mumbai,PhD,1,9375.0
22,32000,0,Chennai,B.Tech,0,32000.0
31,85000,7,Bangalore,M.Tech,1,10625.0
25,48000,2,Hyderabad,B.Tech,0,16000.0
38,135000,12,Delhi,PhD,1,10384.615384615385
23,36000,1,Mumbai,B.Tech,0,18000.0
28,68000,4,Chennai,M.Tech,1,13600.0
34,110000,9,Bangalore,PhD,1,11000.0
21,25000,0,Hyderabad,B.Tech,0,25000.0
26,58000,3,Delhi,B.Tech,1,14500.0
30,75000,6,Mumbai,M.Tech,1,10714.285714285714
36,125000,11,Bangalore,PhD,1,10416.666666666666
24,45000,1,Chennai,B.Tech,0,22500.0
29,72000,5,Hyderabad,M.Tech,1,12000.0
33,100000,8,Delhi,M.Tech,1,11111.111111111111
27,62000,3,Mumbai,B.Tech,1,15500.0
39,145000,14,Bangalore,PhD,1,9666.666666666666
22,31000,0,Hyderabad,B.Tech,0,31000.0
