Age,Salary,Experience,City,Education,Purchased
22,30000,0,Hyderabad,B.Tech,0
25,50000,2,Delhi,B.Tech,1
28,65000,4,Mumbai,M.Tech,1
23,35000,1,Hyderabad,B.Tech,0
30,80000,6,Bangalore,M.Tech,1
26,55000,3,Delhi,B.Tech,1
35,120000,10,Mumbai,PhD,1
21,28000,0,Hyderabad,B.Tech,0
24,42000,1,Chennai,B.Tech,0
29,70000,5,Bangalore,M.Tech,1
32,95000,8,Delhi,M.Tech,1
27,60000,3,Hyderabad,B.Tech,1
40,150000,15,Mumbai,PhD,1
22,32000,0,Chennai,B.Tech,0
31,85000,7,Bangalore,M.Tech,1
25,48000,2,Hyderabad,B.Tech,0
38,135000,12,Delhi,PhD,1
23,36000,1,Mumbai,B.Tech,0
28,68000,4,Chennai,M.Tech,1
34,110000,9,Bangalore,PhD,1
21,25000,0,Hyderabad,B.Tech,0
26,58000,3,Delhi,B.Tech,1
30,75000,6,Mumbai,M.Tech,1
36,125000,11,Bangalore,PhD,1
24,45000,1,Chennai,B.Tech,0
29,72000,5,Hyderabad,M.Tech,1
33,100000,8,Delhi,M.Tech,1
27,62000,3,Mumbai,B.Tech,1
39,145000,14,Bangalore,PhD,1
22,31000,0,Hyderabad,B.Tech,0
