Math,Science,English,Study_Hours,Attendance,Assignments_Completed,Total_Assignments,Average_Marks,Assignment_Completion_Rate,Study_Attendance
55,60,58,3,65,6,10,57.666666666666664,0.6,195
65,68,70,5,75,8,10,67.66666666666667,0.8,375
78,80,82,7,85,9,10,80.0,0.9,595
60,62,65,4,70,7,10,62.333333333333336,0.7,280
88,85,90,8,90,10,10,87.66666666666667,1.0,720
72,75,70,6,80,8,10,72.33333333333333,0.8,480
92,90,94,9,95,10,10,92.0,1.0,855
50,55,52,2,60,5,10,52.333333333333336,0.5,120
62,65,60,4,72,7,10,62.333333333333336,0.7,288
82,85,80,7,88,9,10,82.33333333333333,0.9,616
90,88,91,8,92,10,10,89.66666666666667,1.0,736
70,72,75,6,78,8,10,72.33333333333333,0.8,468
95,94,96,10,98,10,10,95.0,1.0,980
56,58,60,3,66,6,10,58.0,0.6,198
86,84,88,8,91,9,10,86.0,0.9,728
64,67,65,5,74,7,10,65.33333333333333,0.7,370
93,91,95,9,96,10,10,93.0,1.0,864
58,61,57,4,68,6,10,58.666666666666664,0.6,272
80,78,83,7,84,9,10,80.33333333333333,0.9,588
91,89,92,9,94,10,10,90.66666666666667,1.0,846
